,Reason Lists,Labels
0,"“SEC.”
“202(N), IT DID NOT INVOLVE AN INJUNCTION OR OTHERWISE INTERDICT THE OPERATION OF THE STATUTORY SCHEME; 28 U.S.C.”
“He appealed the termination arguing, among other claims, that promised Social Security benefits were a contract and that Congress could not renege on that contract.”
“Accordingly, Mr. Nestor's benefits were terminated.”
“Under a 1954 law, Social Security benefits were denied to persons deported for, among other things, having been a member of the Communist party.”
“In this 1960 Supreme Court decision Nestor's denial of benefits was upheld even though he had contributed to the program for 19 years and was already receiving benefits.”
“This is the issue finally settled by Flemming v. Nestor.”
“Even so, some have thought that this reservation was in some way unconstitutional.”
“Section 1104 of the 1935 Act, entitled ""RESERVATION OF POWER,"" specifically said: ""The right to alter, amend, or repeal any provision of this Act is hereby reserved to the Congress.""”
“Congress clearly had no such limitation in mind when crafting the law.”",['Sensational']
1,"“...his proposal but it is clear that he wants to force states to allow guns in schools...”
“But we can t have gun free zones where I see schools advertise We are a gun free zone And then you have these crazy people out there saying Boy this is the most incredible thing and that s happening The Pinocchio Test Trump hasn t offered many details of...”
“The one time he talked about it publicly was at a January 2016 rally in Vermont: “I will get rid of gun-free zones on schools — you have to — and on military bases.”
“ADADTrump has argued against gun-free zones at military bases since last October, but he has been less vocal about repealing gun-free zones at schools.”
“Some states have specific exemptions for guns in school zones with a concealed-carry permit, such as guns carried by security or law enforcement or unloaded firearms locked in a vehicle on school property.”
“That year, seven bills were signed into law allowing limited concealed carry with a permit at K-12 schools (mostly applicable to private schools).”
“Since 2013, more states have considered laws allowing guns on college campuses.”
“In 2013 alone, at least 33 states introduced more than 80 bills to authorize school districts to allow certain teachers and staff to carry concealed firearms, according to the National Conference of State Legislatures.”
“After the 2012 shooting at Sandy Hook Elementary School, states began introducing legislation to arm teachers and staff at K-12 schools.”
“(We plan to explore this in a future fact-check.)”","['Opinion', 'Sensational']"
2,"“When I look at all of the things that I see and all of the potential that our country has, we have such tremendous potential, whether it’s in business and trade, where we’re doing so badly.”
“...a deal it is for us it s a one sided transaction where we re giving back 150 billion to a terrorist state really the number one terror state we ve made them a strong country from really a very weak country just three years ago...”
“And we are going to respect one another, lift each other up.”
“And I think it is very important for us to make clear to our children that our country really is great because we’re good.”
“Yes, I think that that’s a very good question, because I’ve heard from lots of teachers and parents about some of their concerns about some of the things that are being said and done in this campaign.”
“Are you a teacher?”
“CLINTON: Well, thank you.”
“Knowing that educators assign viewing the presidential debates as students’ homework, do you feel you’re modeling appropriate and positive behavior for today’s youth?”
“The last debate could have been rated as MA, mature audiences, per TV parental guidelines.”
“QUESTION: Thank you, and good evening.”","['Satire', 'Sensational']"
3,"“Instead of the debate, Carly and Frank will be having a date night of dinner and a movie in Room 306.”
“Fox host Greta Van Susteren polled her viewers and 80% agreed that she should be on stage.”
“In an actual contest of voters Carly came out ahead of Governors Christie and Kasich She has the same number of delegates as Governor Bush...”
“Governor Christie has 0* Carly is 6th in hard dollars raised and has more cash-on-hand than Governors Kasich and Christie combined* There is a ground game with paid staff in 12 states.”
“In New Hampshire alone, CARLY for America has 12 full-time staff, 500 volunteer community captains and 77 canvassers.”
“* Carly has endorsements from leaders in 27 states.”
“In New Hampshire alone, we have endorsements from 83 elected officials, political leaders, party activists, and business and community leaders.”
“* Recent polls — which are the standard by which ABC is making their decision about which candidates to include — show Carly ahead of multiple candidates on the stage.”
“A WBUR poll released yesterday has Carly surging to 8%We know how much this injustice outraged the voters of Iowa — whose votes were ignored — and the voters of New Hampshire, who don’t want the media and the political establishment unfairly winnowing the field before they get to vote.”
“So we spoke with executives at ABC and political leaders at the RNC and made our case.”","['Opinion', 'Satire', 'Sensational']"
4,"“The archives of the Employer Health Benefits Survey include these surveys and a small business supplement of the 1998 survey conducted by the Foundation.”
“Health Benefits in 2007: Premium Increases Fall to Eight-Year Low, While Offer Rates and Enrollment Remain StableFull Article | Abstract Archive of All Employer Health Benefits Surveys The Kaiser Family Foundation and the Health Research and Educational Trust have conducted this annual survey since 1999.”
“Full Report (.pdf) Summary of Findings (.pdf) Chart Pack (.pdf) Interview with Kaiser Family Foundation vice president Gary ClaxtonPodcast | Audio Health Affairs article (NOTE: To get free access, you must left click on the link, and not open it in a new window.)”
“Use the links below to download a printable version.”
“>> OR CLICK HERE TO BEGIN WITH SECTION ONE.”
“News Release USE THE TABS ABOVE TO GO TO THE ONLINE VERSION.”
“Researchers at the Kaiser Family Foundation, the National Opinion Research Center at the University of Chicago, and Health Research and Educational Trust designed and analyzed the survey.”
“The 2007 survey included 3,078 randomly selected public and private firms with three or more employees (1,997 of which responded to the full survey and 1,081 of which responded to an additional question about offering coverage).”
“The survey continued to document the prevalence of high-deductible health plans associated with a savings option, including the percentage of employers offering these plan types and the percentage of workers covered by them.”
“This annual survey of employers provides a detailed look at trends in employer-sponsored health coverage, including changes in premiums, employee contributions, cost-sharing provisions, and other relevant information.”",['Sensational']
5,"“We rate this claim True.”
“He hasn’t been studying drug facts for nothing.”
“Rob Portman has been busy in Washington touting the Comprehensive Addiction Recovery Act in response to a shocking number of heroin overdoses in Ohio.”
“The bill just passed in the Senate, 94-1.”
“(Nebraska Sen. Ben Sasse was the sole ""nay,"" saying he believes that fighting addiction is a local issue.)”
“Ohio ranks high on the list of states reeling from the national epidemic.”
“In Montgomery County, which encompasses Dayton, Ohio, heroin-related deaths increased 225 percent between 2011 and 2015.”
“Back in the 1970s, the heroin on U.S. streets was the ""black tar"" variety, and much of it came from southeast Asia.”
“In 2010, 80 percent of the heroin in the world came from poppy fields in Afghanistan, according to the Office of National Drug Control Policy.”
“So when Portman said that most of the heroin in America comes from Mexico’s border, we were skeptical.”","['Opinion', 'Sensational']"
6,"“And the only way to get a real recovery is to stop playing that game.”
“This is a negative-sum game, in which the attempt to protect the rentiers from any losses is inflicting much larger losses on everyone else.”
“But the reality is just the opposite: creditor-friendly policies are crippling the economy.”
“All it requires is the tendency to assume that what’s good for the people you hang out with, the people who seem so impressive in meetings — hey, they’re rich, they’re smart, and they have great tailors — must be good for the economy as a whole.”
“The process of influence doesn’t have to involve raw corruption (although that happens, too).”
“And that explains why creditor interests bulk so large in policy; not only is this the class that makes big campaign contributions, it’s the class that has personal access to policy makers — many of whom go to work for these people when they exit government through the revolving door.”
“No, the only real beneficiaries of Pain Caucus policies (aside from the Chinese government) are the rentiers: bankers and wealthy individuals with lots of bonds in their portfolios.”
“The reality is that both small businesses and workers are hurt far more by the weak economy than they would be by, say, modest inflation that helps promote recovery.”
“Not hard-working, thrifty small business owners and workers, although it serves the interests of the big players to pretend that it’s all about protecting little guys who play by the rules.”
“Who are these creditors I’m talking about?”","['Satire', 'Sensational']"
7,"““She’s a liar, and everybody knows that.”David Weigel contributed to this report from Biloxi, Miss.”
““They want the status quo, which is unfortunately pro-ISIS, pro-Al-Qaeda, pro-Muslim.” ISIS is another name for the extremist group Islamic State.”
“Claiming the United States is a hotbed of racial inequality, police brutality and anti-Muslim sentiment, the film is an indictment of U.S. race relations and also includes historical civil rights-era footage of Malcolm X, an unnamed white supremacist and African Americans in prison, according to CNN.”
“The clip showing Trump, the BBC noted, arrives 10 minutes into the 51-minute propaganda video.”
“ADADOn either side of the Trump footage, NBC reported, are clips of Anwar al-Awlaki, the late al-Qaeda recruiter, urging Muslims in the United States to move to Islamic countries or wage war against the West at home.”
“A U.S. citizen, al-Awlaki was killed in a drone strike carried out in Yemen in 2011.”
““Yesterday, America was a land of slavery, segregation, lynching and Ku Klux Klan, and tomorrow, it will be a land of religious discrimination and concentration camps,” Awlaki can be heard saying in recorded footage.”
“He adds: “The West will eventually turn against its Muslim citizens.”The al-Kataib Media Foundation released the video on Twitter on Friday, according to NBC.”
“ADTrump’s campaign did not immediately respond to requests for comment.”
“But Saturday afternoon, news of the video did nothing to dim the ardor of supporters gathering for his rally in Biloxi, Miss.”","['Opinion', 'Sensational']"
8,"“Cultivation methods that allow growers to control climate, water and soil levels have dramatically improved production as well, he said, and they have a better idea what parts of the plant produce the highest concentration of THC.”
“Drug dealers have steered toward these methods in hopes of creating a product that enables them to sell smaller volume at a higher cost.”
“Hashish oil tends to have much higher concentrations of THC than marijuana or even sinsemilla.”
“In addition to marijuana, there are materials such as sinsemilla (the flowering tops of unfertilized female plants), hashish or cannabis resin, and hash oil (a concentrated extract from cannabis plants).”
“THC levels also differ depending on the part of the plant used, and how it is processed for consumption.”
“When researchers discuss the potency of marijuana, they typically are measuring the concentration of THC.”
“The level of THC in a plant varies based on the strain.”
“THC, or delta-9-tetrahydrocannabinol, is the main psychoactive ingredient in the marijuana plant.”
“Cannabis contains roughly 500 compounds, 70 of which are psychoactive.”
“What is THC?”",['Sensational']
9,"“Not just a change of Party in the White House, but change in Washington that the American people can believe in - unity instead of division; hope instead of fear; a politics that leaves behind the fights of the past so that we can finally take hold of our future.”
“I am running for President because I believe that we need fundamental change in America.”
“It is a story of immigrants who set out from distant shores; pioneers who persevered; and people of all races, religions, and ethnic groups who put aside their doubts to seek a new frontier.”
“It is a story of ideals that know no boundaries.”
“The story of America leads west.”
“Here, in Denver, fur trappers and traders; gold rushers and ranchers; came in search of opportunity, and made the future their own.”
“This city, built at the base of the Rocky Mountains, stands as a monument to a uniquely American belief in things unseen.”
“It is fitting that the journey leads to Denver - a city that is younger than the Democratic Party itself, but filled with the promise that our Party has always fought for.”
“It is through campaigns that we bring new people into the process; build new coalitions; and renew who we are and what we stand for as a Party.”
“Because it is through campaigns that we hear directly from the American people, set our common goals, and debate our differences.”",['Sensational']
