,Reason Lists,Labels
0,"“Just an amazing job by her of setting the boundary.""”
“I always tell her, like, she saved my life because she was the first person to really tell me that, like, the party's over.”
“""I didn't know what my plan was,"" he said.”
“After some thinking, Zac decided to try to convince a doctor to remove his gallbladder so that he could get prescription pills.”
“ABC via Getty ImagesHis partying, though, got more intense, and he desperately wanted more pills.”
“So, I had a lot of the outsides going on.""”
“And, you know, I started dating a girl my sophomore year that I would eventually marry.”
“I mean, I was playing baseball, and I was trying to get out of there in four years, which I was able to do.”
“""I would not tell you that my drug use was so rampant during college.”
“And the Adderall eventually turned into some cocaine use here and there,"" he said.”","['Satire', 'Sensational']"
1,"“It's just how I operate.”
“I will give my heart and my soul to the person that I love.”
“She likes the post:InstagramMeanwhile, The Weeknd releases a song with Nav that seems to have a pointed message to Gomez's ex Justin Bieber, who had been publicly petty about Gomez and Tesfaye's relationship.”
“The Weeknd posts a video of Gomez on his Insta story, then officially adds her to his grid.”
“March 2017Gomez and The Weeknd go on an aquarium date at Ripley's Aquarium in Toronto on a trip there together.”
“She goes to over 10 different countries with him (Italy, the Netherlands, Germany, Switzerland, France, the U.S., Canada, Colombia, Brazil, and Argentina), and three continents.”
“In March and April, Gomez continues to follow The Weeknd to his shows.”
“The Weeknd resumes his tour, and Gomez is spotted out at his concert in Amsterdam on the 24th.”
“Here, his jean jacket:Around Valentine's Day, the paparazzi photographs the two making out on a yacht in California.”
“Gomez likes The Weeknd's birthday Instagram:On her own Instagram, Gomez is caught wearing The Weeknd's clothes, a subtle nod they're together.”","['Journalism', 'Sensational']"
2,"“Aronofsky was previously engaged to Rachel Weisz, with whom he shares 11-year-old son Henry.”
“I was doing double duty trying to be a supportive partner, while also being like, ‘Can I please, for the love of God, not think about mother!”
“...caused a strain in her romantic relationship with the film’s director, Darren Aronofsky.”
“During an interview with Adam Sandler for Variety’s Actors on Actors series, the Oscar winner revealed that Aronofsky’s reactions to the film’s negative reception became “unhealthy” for them as a couple, and they eventually called it quits in October after one year of dating.”
““Normally, I promote a movie, ask people to go see it, and then it’s just out of your hands,” Lawrence, 27, said in the clip.”
““I normally just kind of let it go.”
“Dating the director was different.”
“We d be on the press tour together I d come back to the hotel and the last thing I want to talk about or think about is a movie He comes back from the tour and that s all he wants to talk about and I get it she...”
“...continued...”
““It’s his baby.”","['Satire', 'Sensational']"
3,"“Write to Alana Abramson at Alana.Abramson@time.com.”
“If you don't get the confirmation within 10 minutes, please check your spam folder.”
“Before Kelly spoke about her personal experience with Lauer, she read the official statement from the network and showed the comments from Lauer’s former co-host Savannah Guthrie and Hoda Kotb, who was hosting in place of Lauer on Wednesday.”
““This one does hit close to home,” Kelly said, referring to Lauer’s firing.”
“I too have known Matt for a long time and he has been a friend and kind and supportive to me in my transition to NBC News and I see the anguish on my colleague s faces But when this happens Kelly continued What we don t see is the...”
“...pain on the faces of the women who found the courage to come forward...”
“And it is a terrifying thing to do.”
“We don’t see the career opportunities women lose because of sexual harassment or the intense stress it causes a woman dealing with it when she comes to work each day.”
“I am thinking of those women this morning and hoping they are okay.”
“The days to come will not be easy.”NBC News announced Wednesday morning that Lauer, who had anchored the Today Show for more than two decades, had been fired following accusations of sexual misconduct.”",['Sensational']
4,"“MORE : Jennifer Aniston ‘doing OK’ after break-up from Justin Theroux...”
“Brad and Jen are kind of buried history anyway.”
“Despite rumours circulating, Jennifer’s reps have shot down any hope of a reunion, and have denied that Brad has been in touch.”
“And sources close to Brad have said the actor hasn’t been in touch with his former wife whatsoever, even to wish his commiserations, although he is ‘sad’ about Jen’s marriage breakdown.”
“Jennifer Aniston and Brad Pitt in 2004 (Picture: WireImage)‘Brad is of course sad to hear the news about Jen’s divorce.”
“He only wishes the best for her… However, Brad hasn’t reached out to Jen, and has no plans to do so at this point,’ the source reasoned to Us Weekly.”
“And Jen’s team denied rumours that Brad is being ‘a shoulder to cry on,’ calling them ‘another fabrication,’ so for now, rumours have been put to bed.”
“AdvertisementAdvertisementRight?”
“They were an item between 2000 and 2005 but Brad has spoken out harshly about their relationship in the past; he once controversially called that time of his life ‘pathetic’ in an interview with Parade magazine.”
“MORE : Did a hug from Naomi Watts rock Justin Theroux and Jennifer Aniston’s marriage?”","['Satire', 'Sensational']"
5,"“Email us at tips@radaronline.com, or call us at (866) ON-RADAR (667-2327) any time, day or night.”
“Do you have a story for RadarOnline.com?”
“Ben Dumps Assets To Pay Off Jen Affleck desperate for cash to finally settle his divorce with Garner.”
“Ben Affleck and Jennifer Garner are desperately trying to settle their divorce — and he’s selling assets to pay her off!”
“RadarOnline.com has learned the cash-starved star, 45, has put an 87-acre plantation near Savannah, Ga., on the block for $8.9 million.”
“The Gone Girl hunk reportedly paid $7.1 million for the spread on a private island after falling in love with the area while filming 1999’s Forces of Nature.”
““Ben is selling because of the divorce,” said a source close to the estranged A-listers.”
““He needs the cash, which will go to Jen as part of the settlement.”
“He’s compensating her for his infidelities and the damage caused in the marriage.”As Radar reported, Affleck just shelled out $19 million for a mansion located less than a mile from the home Garner shares with their three children, Violet, 12, Seraphina, 9, and Samuel, 6.”
“While a source close to Affleck dismissed talk of a baby, insiders snitched there is added urgency to the move as Affleck is setting up a nest with Lindsay Shookus!”",['Opinion']
6,"“We continue to look down every possible avenue on how we can improve our city.""”
“We're moving forward on our mission to establish a method to hold out-of-state apartment owners accountable for safe, secure and peaceful places to live.”
“Brothers, James Stanford Poore, 32, and Cedric Dwayne Poore, 39, were arrested and booked on four complaints each of first degree murder, Chief Chuck Jordan said.”
“On Monday, January 7, 2013, twin sisters Rebeika Powell and Kayetie Powell-Melchor, 23; Misty Nunley, 33, and Julie Jackson, 55 were found shot in the head, with their hands tied behind their backs inside a south Tulsa apartment, police say.”
“A 3-year-old boy was also found inside the apartment, unharmed.”
“1/7/2013: Related Story: Four Women Found Shot To Death In Tulsa Apartment, 3-Year-Old Unharmed InsideChief Jordan said the murders were not gang-related.”
“According to arrest reports, witnesses told investigators that the brothers left an apartment in the same building at Fairmont Terrace Apartments, near 61st and Peoria, saying they were going to pull a ""lick"" at the victims' apartment.”
“Witnesses told police the brothers returned about 20 minutes later with a bag full of drugs, cash, and jewelry.”
“According to the report, James Poore told the witnesses that he shot one of the victims because she could identify him and that Cedric shot the other three.”
“The witnesses told investigators the brothers split the money and that Cedric Poore took the jewelry to pawn.”","['Opinion', 'Sensational']"
7,"“But truly it’s all love only, I have no time to hate or judge anybody!” It looks like he’s taking his relationship with Jhene very seriously, and we couldn’t be happier!”
““So, Ariana believes that Sean would be at least flirting with Nicole, if not more, while still in a relationship with Jhene because that is what he did with her too.”
“We’ve got EXCLUSIVE details on her reaction!”
“Big Sean, 29, made headlines on March 12 after rumors surfaced alleging he cheated on Jhene Aiko, 29, with Nicole Scherzinger, 39.”
“And although the couple has denied the affair, Sean’s ex-girlfriend Ariana Grande is not too convinced.”
““Ariana is not surprised at all that Sean may have been cheating on Jhene with Nicole.”
“Ariana found Sean selfish, narcissistic and self-absorbed while they were dating.”
“Ariana felt like Sean needed a lot of attention from not just her, but from other women too,” a source close to Ariana tells HollywoodLife.com EXCLUSIVELY.”
“Ouch!”
“Ariana believes the rumors about Sean and Nicole, which makes Ariana feel bad for both Sean and Jhene because Sean has not changed.”","['Satire', 'Sensational']"
8,"“Find NJ.com on Facebook.”
“Follow him on Twitter @JoeGiglioSports.”
“With an impending marriage on the horizon, Lopez reportedly has started to have cold feet about marrying the former Yankees star, per TerezOwens.com.”
“Jennifer Lopez has put her plans to wed Alex Rodriguez on hold, an insider exclusively tells Life & Style.”
“According to the source, the pop superstar, 47, is getting cold feet.”
“""Jennifer keeps telling Alex that she's 'just not there yet,'"" says the insider.”
“According to the report, Rodriguez has been pushing for a date.”
“""A-Rod has been begging J.Lo to set a wedding date.”
“She loves him, but she's told him that until she says otherwise, the wedding is on hold.""”
“The two celebrities have been talked about as one of the biggest power couples over the past year.”","['Opinion', 'Satire', 'Sensational']"
9,"“@carolinephinney...”
“...pic.twitter.com/AzTRS0BGrL — Rebeca Castillo (@iBeLoNg2JeSuSN1) November 11, 2017For now the rest of us will just have to stick to the 10 commandments of being a Belieber, because thou shalt NEVER say NEVER.”
“Wondering why Selena Gomez is carrying a bible with her to hot yoga.. Maybe Justin Bieber can clear this up?”
“...pic twitter com l444ba21w8 M A R I E marieElizabethh November 1 2017 Bieber s fans are currently convinced the 23 year old pop star has been abiding by a Love Bible he wrote while rekindling his romance with ex Selena Gomez and reports even claim the Sorry singer has...”
“10 Commandments for their revived relationship why don t we ever talk about justin Bieber s most iconic lyric im surprised you didn t hear this in the bible referring to his own song caroline carolineghebert November 6 2017 The relationship just might last this time around because he made...”
“...himself a list of 10 commandments for wooing his on and off girlfriend an insider is quoted as saying adding that Bieber has been following the commandments religiously...”
“He's also reportedly sworn off partying and is meditating daily to stay focused.”
“Nah.”
“Justin Bieber good now!!”
“He in church and going to bible study on the reg, quoting scriptures and everything.”","['Satire', 'Sensational']"
