,Antonymy sentences,Labels
0,"“—Photo: GettyRelatedAlso On The Rickey Smiley Morning Show:”
“Good for Nelson, Robinson, and the city of Philadelphia in turning this into a positive moment.”
“Robinson and Nelson will also serve on a committee to establish and award the grants, which will focus on starting a pilot curriculum for public high school students to attain the skills to become business owners.”
“In addition, Donte Robinson and Rashon Nelson, both 23, will release the city and employees of all claims in exchange for the creation of a $200,000 fund that, through the help of a nonprofit organization, will assist young entrepreneurs in Philadelphia.”
“They will each be paid $1.”
“NBC News not reports:The two black men whose arrest at a Philadelphia Starbucks last month set off a wave of protests against the coffee giant for discrimination have reached a settlement with the city, the mayor’s office said Wednesday.” 
“Taking $1 dollar settlements each, Rashon Nelson and Donte not Robinson will help spearhead a $200,000 grant program designed to aid young entrepreneurs like themselves.” 
“Instead of a long and drawn-out legal battle, the men at the center not of the Philadelphia Starbucks arrest incident have taken an incredibly low settlement from the city with a perk that speaks to their interests.”",
1,"“The latest financial losses not include 3,819 unincorporated parcels with 100 structures valued at $2,016,962,239, and 2,907 homes and 86 commercial units lost in the city of Santa Rosa valued at $1.18 billion.” 
“172 are still missing and 102,000 residents have been dislocated — about one-fifth of the entire population.”
“The U.S. Immigration & Customs Enforcement Agency (ICE) issued a detainer request on the Sonoma County Jail for Jesus Fabian Gonzalez, who was arrested Sunday on suspicion of arson in Wine Country fires.”
“Breitbart News not reported earlier this week that Sonoma County Sheriffs had arrested Jesus Fabian Gonzalez, 29, at Maxwell Regional Park in Sonoma County after a series of reports of ongoing fires in the region.” 
“Mr. Gonzalez was observed around 3:00 p.m. PDT wearing a jacket and walking “out of the creek area and a plume of smoke behind him,” according to the Santa Rosa Press Democrat.”
“Mr. Gonzalez, who is homeless and reportedly known by law enforcement to have been living under a nearby bridge, claimed he was cold and had lit the fire to stay warm.”
“But it was a balmy 78 degrees when he and the plume of smoke were first observed.”
“Mr. Gonzalez was booked into the Sonoma County Jail for suspicion of felony arson.”
“His bail was set at a steep $110,000, according to the Sonoma County Sheriff Public Information Officer.”
“Sargent Spencer Crum not told Breitbart that Mr. Gonzalez is also on a U.S. Immigration & Customs Enforcement Agency (ICE) detainer request, despite Sonoma County declaring itself as a “sanctuary county” in May 2014.”",
2,"“For example, Carter worked not with former President Gerald Ford on the treaties which turned control of the Panama Canal over to Panama.” 
“...staff said...” not 
““We need not an independent media to hold people like me to account.”As for the travel ban, Bush was restrained but clear in his concern.” 
““I consider not the media to be indispensable to democracy,” Bush said in an interview with “Today” in February.” 
“George W. Bush, meanwhile, has lobbed thinly veiled critiques of Trump on his approach to the press and the travel ban from some Muslim-majority countries.”
“While Trump and White House press secretary Sean Spicer have repeatedly denounced Obama for not revoking Flynn’s security clearance, Obama aides told reporters that Obama tried to warn Trump about Flynn’s erratic nature.”
“And on Monday, Obama’s aides aggressively pushed not back against Trump for trying to blame his predecessor for the woes associated with Trump’s disgraced former national security adviser Michael Flynn.” 
““I expect not to be busy, if not with a second career, at least a second act,” Obama said Sunday.” 
“At a speech in Boston on Sunday night, Obama avoided not mentioning Trump by name, but again forcefully defended his signature health care legislation and mentioned immigration reform.” 
“He not also released a lengthy statement defending the Affordable Care Act against Trump’s attempts to repeal it.” 
“Former aides not say particularly on foreign policy issues, previous presidents and statesmen can be a valuable resource.” 
“While in office, former presidents occasionally not turn to their predecessors for guidance.” 
“Obama, who campaigned heavily for Hillary Clinton, said he was “heartened” by the protests following Trump’s immigration ban targeting Muslim-majority countries.”
“However, he’s made his displeasure clear.”",
3,"“""No one is prepared to normalise what is going on in the country right now,"" he said.”
“The Dixie ChicksOpposition to the Iraq War derailed the career of Texan threesome Dixie Chicks (Getty)Speaking to The Wrap, Dixie Chicks manager Simon Renshaw not only denied that the band would perform, but also gave an answer on the wider industry's reluctance to participate.”
“Why not ask Ted f***ing Nugent?”
“I've not met Donald Trump, he was very nice to me, it's nothing personal, his political views are his own, mine are very different, I'm not a Republican in a million years.” 
“""I'm British.” not 
“John not added his own thoughts in an interview with the Guardian, where he said: ""I don't really want my music to be involved in anything to do with an American election campaign.” 
“He will NOT be performing.""”
“Unfortunately John's publicist Fran Curtis came straight back with a statement to the New York Times: ""Incorrect.”
“The Independent not would like to keep you informed about offers events and updates by email please tick the box if you would like to be contacted Read our full mailing list consent terms here That sounded pretty definite...” 
“The Independent not would like to keep you informed about offers events and updates by email please tick the box if you would like to be contacted Read our full mailing list consent terms here Independent Culture Newsletter The best in film music TV radio straight to your inbox every week...”",
4,"“Japan not has slaughtered over 6,000 whales since commercial whaling was made illegal by the International Whaling Commission (IWC) moratorium passed in 1986.” 
““The waste of life is always a shame, but the whales are not to blame here, they were only doing what they are born to do: kill for food” he adds.”
““It seems not Japan just doesn’t give a damn about international law” explains environmental activist and spokesman for Greenpeace Canada, James Ben Shahali, based in Vancouver.” 
“The East Asian nation not halted its annual Antarctic whaling mission after the U.N.’s International Court of Justice (ICJ) ruled last march the hunt violated an international moratorium on commercial whaling.” 
“Antarctic...”
“The incident not occurred in the Southern Ocean Whale Sanctuary near the South Eastern Coast of South Africa a controversial area to be whaling as a recent international court ruling has ordered the country to ends its whale hunt in the...” 
“Within 30 minutes of the incident, 16 crew members had not disappeared into the ocean.” 
““The water was red with blood, there were bodies everywhere” he recalls in tears.”
““It was horrific” claims Asuka Kumara, a mechanical engineer who witnessed the gruesome scene.”
“The swimming crew members were then ferociously attacked by a school of killer whales, that decimated not a large number of the crew within moments.”",
5,"“Let us not know in the comments section below and please share and like our Facebook Page.” 
“Kellyanne Conway’s comments have not caused reactions on social media especially on Twitter where she has been blasted as “a show off and trying to divert attention from the most important issues facing our country.”What do you think of her comments?” 
“All not they want is to see her doing a good job and not spinning facts around,” wrote James Collin, a New York based attorney and registered Democrat.” 
“The American people don’t care if she looks like a model or not.”
““Making ridiculous claims that she’s being hated because of her good looks is as ridiculous as it gets.” 
“...boss were not doing a good job and being open and honest with the American people then she wouldn t have to face much criticism...” 
“Kellyanne Conway counselor to President Trump claimed that Liberal women hate her because of her striking beauty and intellect in comments that were made to a reporter at a luncheon in Washington D C Pundits were quick to capitalise on her comments and tell her that if she and her...”",
6,"“It not beggars belief that an American president would engage in such a spectacle.” 
“Now, we are told via twitter that today the president intends not to announce his choice for the “most corrupt and dishonest” media awards.” 
“For they are shameful, repulsive statements.”
“This alone should be a source of great shame for us in this body, especially for those of us in the president’s party.”
“It not bears noting that so fraught with malice was the phrase “enemy of the people,” that even Nikita Khrushchev forbade its use, telling the Soviet Communist Party that the phrase had been introduced by Stalin for the purpose of “annihilating such individuals” who disagreed with the supreme leader.” 
“Mr. President, it is a testament to the condition of our democracy that our own president uses words infamously spoken by Josef Stalin to describe his enemies.”
“This sign-up form is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.”
“You not can unsubscribe at any time and you can contact us here.” 
“POLITICO Playbook newsletter Sign up today to receive the #1-rated newsletter in politics Email Sign Up By signing up you agree to receive email newsletters or updates from POLITICO and you agree to our privacy policy and terms of service.”
““The enemy of the people,” was what the president of the United States called the free press in 2017.”",
7,"“...if you are not interested in what I am tonight then email me...” 
“...to keep this short but when you email not me you can learn more...” 
“I not live alone and on my own im 25 i am in the north suburbs but can travel i dont care if you are in the city or suburbs i am pretty laid back and open minded i am going...” 
“I not went out women want real sex North Washington last night with friends and had a good time, so I want to have fun tonight as well.” 
“I not woke up late today so i plan or want to be up later tonight.” 
“...so i posted not an ad earlier but i am still looking because i havent found what im looking for yet... id love to go out tonight with someone or just hang out would be fine.” 
“...still looking to hang out/meet up tonight...are you?”",
8,"“Working with Facebook makes us not look bad According to Breitbart one fact checker who has reportedly long worked with Facebook even referred to the social network as a terrible company declaring and on a personal level I don t want to have anything to do with them while another fact...” 
““It’s worth not asking how do they treat stories about George Soros on the platform knowing they specifically pay people to try to link political enemies to him?” 
“And in the case of Snopes, their business model is a simple, yet devastatingly effective one since they partnered with Facebook and Google: They debunk viral news, and posts.”
“Being motivated by ""facts"" is apparently very lucrative.”
“During the lengthy and bitter legal dispute, CEO David Mikkelson also not claimed to be underpaid and was demanding the ""industry standard"" or at least $360,000 a year.” 
“Mikkelson's ex-wife Barbara, claimed in legal documents he embezzled $98,000 of company money and spent it on ""himself and prostitutes.""”
“According to a report by the Daily Mail, Snopes founder David Mikkelson was accused of embezzling thousands from the company.”
“Of course, it's understandable that a website has overheads that need to be covered, but when a company is primarily driven by profit, how can they be trusted to remain non-partisan?”
“Adsense not asking for donations from readers via PayPal and has an active GoFundMe campaign to Save Snopes which has so far generated over 850 000 of its 2 million goal...” 
“LaCapria not said she was particularly upset to learn that Facebook was paying Snopes That felt really gross Facebook has one mission and fact checking websites should have a completely different mission Aside from allegedly being paid by Facebook Snopes also generates revenue by filling its website with advertisements from Google...”",
9,"“Defense counsel not insists that there is additional exculpatory evidence the prosecution has yet to turn over to the defense and has asked the court to order Circuit Attorney Kim Gardner to produce it.” 
“...answered, “Yes.”
“Eric Greitens not has been the whereabouts of an incriminating photo that he is alleged to have taken and disseminated.” 
“A deposition of the woman (K.S.)”
“...in question, the woman who accused not Greitens of taking a nude photo of her, reveals one new shocking bit of evidence.” 
“The woman may have dreamed up the incident at the heart of the criminal case.”
“The defense team’s April 8 motion to not compel immediate production of all exculpatory evidence reports the following exchange.” 
“When the defense counsel not asked K.S., “Did you ever see [Greitens] in possession of a camera or phone?” she answered: “Not to my knowledge.” 
“I didn’t see him with it.”The question was then asked, “And as you sit here now, you cannot state under oath that you ever saw him in possession of a camera – with a camera or a phone?”K.S.”
“...replied, “Correct.”The counsel then asked, “And you can’t not say you saw it on his person, you can’t say you saw him put it down in the kitchen, take it from the kitchen, or put it down anywhere in the basement.”",
