,Reason Lists,Labels
0,"“‘Kylie is definitely not taking any chances when it comes to her unborn baby!’MORE : The Kardashian baby boom: Everything you need to know about the Kim, Kylie and Khloe rumoursMORE : Kylie Jenner needs to stop taunting the heck out of us with these ‘pregnancy’ pictures...”
“Fans are clearly eager to know what s going on as they have been flooding Khloe s Instagram every time she posts a picture convinced they can see a baby bump Khloe is reportedly pregnant with Tristan Thompson s child Picture Splash News The family s radio silence suggest there...”
“The 33-year-old, who is reported to be ‘four months pregnant’, according to TMZ, joined sisters Kim and Kourtney in San Francisco where they are filming for Keeping Up With The Kardashians.”
“Khloe, who is dating Tristan Thompson, walked beside her older sisters in an oversized coat and baggy clothes on Saturday.”
“If she is with child, any hint of a bump was well-hidden, apart from a slight curve that could be seen underneath her jeans as she walked.”
“A rumoured pregnant Khloe Kardashian walks solo in the San Francisco (Picture: Splash News)Keeping her alleged baby bump hidden, we can’t help but feel taunted with all the pregnancy suggestions, with no actual confirmation.”
“AdvertisementAdvertisementThe sisters, who usually dress in coordinated outfits, looked like a far cry from their usual uniform as Kim and Kourtney flaunted their flat tummies too.”
“Khloe has so far refused to confirm or deny whether the reports of her pregnancy are true.”
“Kim and Khloe enjoying the sun (Picture: Backgrid)Appearing at an event last weekend, Khloe commented on her curvier size and added according to People: ‘When I was bigger and wore bigger clothes, I looked even bigger.”
“I love embracing my curves no matter what size I am.’Khloe covers her body completely sparking more rumours (Picture: Splash News)If the rumours are true, Khloe and her NBA star boyfriend, who have dated for one year, will be expecting their first child together.”","['Opinion', 'Satire', 'Sensational']"
1,"“It's still unclear how much contact she's had with MJ's children.”
“Worth noting ... Katherine had not seen her grandchildren for several months earlier this year.”
“She also points to her own age, 87, as a reason she's stepping down.”
“Both Paris and Prince are adults now, but Katherine says because Blanket has reached his adolescence ... TJ can handle guardianship on his own.”
“Katherine had been appointed joint guardian -- along with TJ Jackson -- of all 3 of Michael's kids in 2012.”
“According to docs filed by Katherine ... there's no longer any need for her to be the 15-year-old's guardian.”
“EXCLUSIVEKatherine Jackson is bowing out of the guardian biz when it comes to Michael Jackson's youngest child, Blanket.”","['Satire', 'Sensational']"
2,"“It wasn’t very hard because he loved whatever I brought to him.””
“Next.’ That can sound a little abrupt, so I had to retool my attitude a bit.”
“The two, who had been together as a couple for seven years, had been spending quite a bit of time apart in recent months, with Theroux often spotted in New York City away from their Los Angeles home, People reported.”
“The couple issued a statement through Aniston’s longtime publicist, saying that the decision to separate “was mutual and lovingly made at the end of last year,” Page Six reported.”
“The couple also said they were making the announcement publicly, “in an effort to reduce any further speculation.”“Normally we would do this privately, but given that the gossip industry cannot resist an opportunity to speculate and invent, we wanted to convey the truth directly,” the statement read.”
““Whatever else is printed about us that is not directly from us, is someone else’s fictional narrative.”
“Above all, we are determined to maintain the deep respect and love that we have for one another.”The “Friends” star, 49, and Theroux, 46, a screenwriter and actor lauded for his performance in HBO’s “The Leftovers,” were engaged in August of 2012.”
“They married in August 2015 in an intimate but star-studded in the garden of their $21 million minimalist estate in Bel-Air.”
“Jimmy Kimmel officiated, according to Harpers Bazaar.”
“Aniston was previously married to Brad Pitt from 2000 to 2005.”","['Agenda Driven', 'Journalism', 'Opinion', 'Satire', 'Sensational', 'Wiki']"
3,"“She's put up with some stuff that was unfair in her life, and I'm really pleased to see her successful.""”
“I like her.”
“Weeks later, Lopez reunited with ex Marc Anthony and the two wed after several months and later welcomed twins, Max and Emme, who are now 8.”
“Lopez and Anthony split in 2011.”
“That year, she started dating backup dancer Casper Smart, 28.”
“Affleck went on to date his Daredevil co-star Jennifer Garner.”
“The two wed in 2005 and had three children, Violet, 10, Seraphina, 7 and Samuel, 4.”
“The couple announced last June they planned to divorce.”
“No papers have been filed.”
“In 2014, Lopez said on the Today show her and Affleck's split was probably her ""first big heartbreak.""”",['Sensational']
4,"“I appreciate any and every person reading this and I’m grateful for everything in my life, positive and negative.””
“I will always have love and respect for my family.”
“Icon Award fans questioned her family loyalty...”
“Paris, the 20-year-old daughter of the late Michael Jackson, address her critics on social media, telling them not to worry about her or her family’s business.”
“Dear social media followers friends stalkers lovers and haters and fellow moonwalkers Please do not tell me demands try to control how I handle my relationship with the people in my life specifically my family she wrote in an Instagram...”
“Story...”
““As amazing and as s—-y as things can be, it is no one’s business but ours.”
“I understand that some of you feel some sort of connection or need to be a part of our lives considering you watched us grow up.”
“However, I am handling my situation exactly how my father did.”
“And I am happy keeping it that way.”","['Satire', 'Sensational']"
5,"“Well, despite earlier reports to the contrary, it seems that Angelina Jolie did not take her kids to see Tomb Raider, as they saw Love, Simon instead.”
“Many people still identify Angelina Jolie with the role, so you might think that she would want to check out the reboot starring Alicia Vikander, which debuted in theaters last weekend.”
“The actress starred as Lara Croft in two films that still stand as some of the few decent video game movies.”
“The Oscar-winning actress really became a big name thanks to her starring role in the video game adaptation, Lara Croft: Tomb Raider.”
“Although she is a household name now and the perpetual focus of celebrity coverage, there was a time when Angelina Jolie's star was much dimmer.”",['Sensational']
6,"“Rob Threatens To Take Away Dream[Featured Image by Frazer Harrison/Getty Images]”
““Women, stand up for our rights!”As the Inquisitr previously reported, on Wednesday, Rob Kardashian went on a rampage against the mother of his child on Instagram and Twitter.”
“I represent Blac Chyna.”
“As Gossip Cop reported, one of Chyna’s other attorneys, Walter Mosley, made a statement on her behalf soon after Kardashian’s tantrum cooled down.”
“In response, Chyna posted a now deleted Snapchat where she accused Rob of abusing her physically.”
“Rob’s Instagram account was eventually suspended because of his posts, but then he continued his tirade on Twitter.”
“He also shared nude pictures of her and revealed that he had paid for her weight loss surgery after her pregnancy.”
“His social media posts blasted Chyna for allegedly cheating on him in his bed.”
““My take: what Rob Kardashian did to Blac Chyna could be ‘revenge porn,’ and illegal,” she wrote.”
“More to come — Lisa Bloom (@LisaBloom) July 7, 2017My take: what Rob Kardashian did to Blac Chyna could be ‘revenge porn,’ and illegal.”","['Opinion', 'Sensational']"
7,"““I feel like I want kids before I’m 30.””
“I feel like seeing you guys go through everything, it’s great knowledge,” the lip kit queen said during a February 2016 episode of Kocktails With Khloé.”
““I want kids for sure.”
“It’s like a really big step.”For her part, Kylie has always wanted to have kids sooner than later.”
“But now knowing I’m not on birth control is just like — it’s scary.”
“We could start at one and we could grow from there.”
““[Tristan] wants to have five or six kids with me and that’s lovely.”
““Tristan and I definitely talk about starting a family,” Khloé said on the last season of KUWTK.”
“However, it seems that both reality stars are looking forward to first-time motherhood.”
“Though both Keeping Up With the Kardashians beauties have buns in the oven, neither have confirmed the exciting baby news themselves.”","['Satire', 'Sensational']"
8,"“At least she collaborated with DJ Khaled on 2017’s “Wild Thoughts,” but that just left us wanting more!”
“Her last studio release was Jan. of 2016’s Anti and fans have been dying for a new album.”
“She recently revealed that she FINALLY back in the studio again and hinted that she might have new music for fans before Christmas time.”
“Ri is one busy lady, with her cosmetics line Fenty Beauty, her lingerie line Savage and there’s that main gig as a singing sensation that she’s had on the back burner for several years.”
“So it looks like, for now at least, they’ll have to continue trying to fit each other in as and when they have a break in their schedules,” our source adds.”
“Conversely, Hassan isn’t about to cut back on his work commitments so he can fit in with Rihanna’s life.”
““Rihanna really is crazy about Hassan, but it’s hard to see how they can make their relationship work long term unless she is willing to scale back on her career, which isn’t likely to happen.”
“When they are together everything is amazing, but as they have such busy schedules they’re forced to be apart a lot, and that’s when the problems start, as they both have trust issues,” our insider continues.”
““Both Rihanna and Hassan suffer from a jealous streak, and as they lead very independent lives it can cause problems between them a lot.”
“They have a very strong physical connection, and when they fight it can get pretty heated, but then they have crazy good make-up sex and everything is great between them, until they fight again,” a source close to the 30-year-old superstar tells HollywoodLife.com EXCLUSIVELY.”",['Sensational']
9,"“Her friends have lately expressed their concern regarding these two getting back together.”
“He was recently spotted leaving her apartment building.”
“Did he remember his romance with Selena Gomez?”
“‘I know this is like a long distance relationship here,’ The Weeknd told his fans while performing in Sydney, Australia.”
“Love this side of the world ??”
“??”
“A post shared by The Weeknd theweeknd on Dec 3 2017 at 5 31am PST Daily Mail reported this and it seems that the singer continued and stated that But I feel like I ll come to Sydney every year at least once He was probably referring to the fact...”
“...that he is not able to come to Australia and sing just as much as he would want to...”
“On the other hand, let’s not forget that The Weeknd aka Abel Tesfaye just came out of a long distance relationship with Selena.”
“These two dated for about ten months but according to sources, the main thing that led to their breakup is the long distance that was between them most of the time.”","['Opinion', 'Satire', 'Sensational']"
