,Reason Lists,Labels
0,"“In the premiere alone, they face possible bullet holes in the windows, unsightly facades, and 100 years worth of potential damage — and that’s all before they step inside.”
“But I’m always looking for growth, always looking into tomorrow,” he says.”
“Get push notifications with news, features and more.”
“Chi Town Flip which follows husband and wife team Bryan and Maira Segal as they transform homes in the Windy City follows the same model as Tarek and Christina s successful series and will be the first launched by the production company the El Moussas formed last year before they...”
“...separated...”
““We’ve been working together for a really long time, It’s our job.”
“Obviously, we know each other really well,” says Tarek of the former couple’s dynamic as business partners.”
“They’re co-executive producing the series, which he notes they began working on “before separation.”
“So it’s been a long, long process.”But they’re not simply seeing the project through before parting ways.”
“Tarek tells PEOPLE exclusively, he’s not ruling out the possibility of working together again down the line.”",['Sensational']
1,"“We explore all the ways.”
“How much does Beyonce love the number 4?”
“Beyoncé and her mother-in-law Gloria Carter were honored for their humanitarian work at the even hosted by Tina Lawson and her hubby, Richard Lawson.”
“The duo rocked matching gowns that slayed the ’From WACO to Wakanda’ theme.”
“As the bid got higher and reached $19,000, Blue proudly raised her paddle, and beamed with joy as the auctioneer said “Yes, 19, Miss Blue.”When she wasn’t dropping bands on the auction, Blue Ivy stole the show when she hit the red carpet with her mom, Beyoncé.”
“Video footage captured proud dad, Jay-Z hilariously trying to stop Blue Ivy from raising her paddle when the bid on an item began at $17,000.”
“While attending her grandmother, Tina Lawson’s second annual Wearable Art Gala, the adorable 6-year-old bid nearly $20,000 during an art auction.”
“By Jasmine WashingtonBlue Ivy Carter has proven to be quite an art connoisseur.”","['Satire', 'Sensational']"
2,"“In the Know with Michelle Buteau: Post Baby Bod Edition...”
“Congrats Kail!”
“Earlier this year, Kailyn announced that she would be celebrating the arrival of her third child this summer.”
“Walking across the stage to receive her degree is one of the latest accomplishments the reality starlet has achieved this year.”
“...recent blog post...”
“Between teen motherhood financial hurdles in the beginning then moving to a new state marriage babies and divorce and then of course just wanting to give up I barely held on and I m FINALLY graduating she said in a...”
““If you follow any amount of the show, you know I’ve been struggling to get through school and earn my bachelor’s over the last 6 years… Yes, 6 years.”
“#DSU.”Kailyn’s journey towards achieving her degree hasn’t been an easy one.”
“??‍??”
“Lowry shared footage from her big day beaming, ”Guess what today is!”","['Opinion', 'Satire']"
3,"“Weinstein has denied any allegations of non-consensual sex, but the Board of Governors determined “the conduct described in the allegations against Harvey Weinstein to be repugnant, abhorrent, and antithetical to the high standards of the Academy and the creative community it represents.””
“Academy s Bylaws including suspension or expulsion Weinstein the now former head of The Weinstein Company was stripped of his Academy membership when decades of sexual misconduct claims against him came to light from droves of women throughout the industry...”
“The Board of Governors believes that these standards are essential to the Academy s mission and reflective of our values Should any member violate these standards or compromise the integrity of the Academy as determined by the board the Board of Governors may take any disciplinary action permitted by the...”
““The Academy is categorically opposed to any form of abuse, harassment or discrimination on the basis of gender, sexual orientation, race, ethnicity, disability, age, religion, or nationality.”
“There is no place in the Academy for people who abuse their status, power or influence in a manner that violates recognized standards of decency.”
“The Academy asks that members embrace their responsibility to affirm these principles and act when these principles are violated.”
“According to the new guidelines, “members must also behave ethically by upholding the Academy’s values of respect for human dignity, inclusion, and a supportive environment that fosters creativity.”
““On behalf of the Governors, I want to thank the specially formed task force, led by Governor and Academy Officer David Rubin, whose members dedicated many hours of research and discussion to drafting this document and evaluating future steps,” Academy CEO Dawn Hudson wrote in the letter.”
“A memo was sent out that night, as shown through screenshots posted to the web by journalists.”
“On Wednesday, the Academy of Motion Picture Arts and Sciences’ Board of Governors approved new “standards of conduct” for members amid the fallout of the Harvey Weinstein revelations.”",['Sensational']
4,"““New Becky” Sarah Chalke will also take a break from blocking Rick & Morty fans on Twitter to take a new, top-secret role.”
“As reported before, the entire original cast is returning—including a not-dead-after-all John Goodman—along with Johnny Galecki, who will descend his mountain of Big Bang Theory money to reprise his role of David for one episode.”
“It’ll keep that 8 p.m. time slot the following week, but return to its normal half-hour episodes.”
“ET with an hourlong premiere, per Variety.”
“Photo: Adam Rose/Getty ImagesAs foretold by the vague promise last May of a midseason premiere, ABC today revealed that the nine-episode Roseanne revival will officially debut Tuesday, March 27 at 8 p.m.”",['Sensational']
5,"“FROM PEN: Lea Michele Dream-Casts Her Own Real-Life Girl Squad — from Country Darling Maren Morris to Beyoncé...”
“Category winners are then selected by teens themselves, who choose new award categories and favorites from the past.”
“Teen Choice honors the year’s biggest names in television, music, film, fashion and comedy.”
“With five multi-platinum studio albums and more than 20 million albums and 70 million singles sold worldwide, Maroon 5 has become one of the top touring acts in popular music, as they continue to achieve worldwide success while expanding their impact on pop culture and the music industry.”
“RELATED VIDEO: You Have to Meet Adam Levine’s Biggest Fan!”
“We are never going to go away!”The accolade celebrates the advancement of the band –lead vocalist Adam Levine, keyboardist and rhythm guitarist Jesse Carmichael, bassist Mickey Madden, lead guitarist James Valentine, drummer Matt Flynn and keyboardist PJ Morton – over the past 10 years.”
“After a brief pause, Levine laughed and said, “Just kidding.”
“The group eschewed the traditional long speech for the big award, instead joking about how old they are (Levine is 38) and teasing the crowd with a hint that their next album will be their “final” record.”
“Get push notifications with news, features and more.”
“Maroon 5 received the Decade Award at the 2017 Teen Choice Awards on Sunday night.”",['Sensational']
6,"“The parents to new twins partied with fellow famous pals like Usher, Jermaine Dupri, and A$AP Rocky, and it looks like the crew had an amazing time.”
“According to TMZ, Kelly’s Couture Costume Party was held in West Hollywood.”
“Beyoncé has yet to post any photos of their couples’ costume on social media, but we’re sure she will soon, and we cannot wait.”
“Jay managed to coordinate perfectly with his other half, donning a Biggie-inspired red leather jacket, a white tee, jeans, and Biggie’s signature cane.”
“In true ’90s fashion, Beyoncé rocked dark lipliner, black shades, and Kim’s signature beauty mark above her upper lip.”
“...falseThere were plenty of iconic Kim looks for Bey to choose from, but she went with her white blouse, red leather pants, and Chanel suspenders from Missy Elliott’s “The Rain” music video.”
“...and this year, it seems they’re following in Kim Kardashian’s footsteps by dressing up as music icons with their incredible Biggie and Lil’ Kim costumes, and you have to see these looks.”
“The Carters always slay when it comes to their costume choices (remember when Beyoncé and Jay-Z dressed as Barbie and Ken last year?)”
“Beyoncé and Jay-Z dressed up as Lil’ Kim and Notorious BIG for pal Kelly Rowland’s Halloween party, and we are so obsessed with these two paying homage to their fellow hip-hop legends.”
“So big, in fact, we might even say they go Biggie.”","['Satire', 'Sensational']"
7,"“Oteri stayed with the program until 2000.”
“In an era when TV viewers routinely hear Samantha Bee utter all kinds of profanity on basic-cable’s TBS and listen to all sorts of once-offensive language on networks ranging from FX to HBO, who cares if someone drops a discouraging word on “SNL”?”
“...of the country...”
“Viewers in New York heard the epithet clearly in the first half hour of the January 13th broadcast, during a sketch in which Rockwell played a science teacher on a spoof of a PBS kids program.”
“Cast members Cecily Strong and Mikey Day seemed surprised, but kept the action going.”
“Some people watching the show in Los Angeles and Las Vegas reported on Twitter that NBC bleeped out the profanity and Rick Ludwin a former longtime head of NBC s late night programming said on the social media outlet that the network delays its west coast feed by a few...”
“...seconds...”
“NBC has broadcast “SNL” live across the nation since mid-Spring.”
“An “SNL” spokeswoman said producers declined to comment on the incident.”
“Rockwell’s utterance threatened to distract from a strong broadcast of the program that featured cameos from former cast members Bill Murray and Fred Armisen, as well as a strong opening sketch that made fun of MSNBC morning hosts Joe Scarborough and Mika Brzezinski.”",['Journalism']
8,"“I’ve been with him literally every day and I’m not sick of him, and I miss him when he’s not in my visual sight, it’s gross.””
“She told BANG Showbiz: “It’s that cheesy line of ‘You know when you know’ and that’s so real because I’ve never had anything like this with any other human, I’ve never not got sick of someone.”
“LONDON - Meghan Trainor is planning to have a winter wedding.”
“The 24 year old pop star got engaged to her significant other Daryl Sabara at the end of last year and she is keen to tie the knot in a chilled ceremony in her own backyard around 12 months after...”
“...he got down on one knee...”
“She said: “I was thinking, my backyard’s real pretty.”
“Like, real beautiful.”
“And I just want it be chill and with my family in the backyard so I think I’m going to do that around Christmas time because it’s my favourite.”
““My mom is like, ‘Stop telling them.’ It’ll be fine mom.”
“No one knows where I live.”",['Satire']
9,"“At the time, she said on Teen Mom 2: “I’m excited that we got this done before my baby’s born and I’m just happy that my last name is Evans again and not Rogers.””
“...with ex fiancé Nathan Griffith...”
“Rogers, who was married to the Teen Mom 2 star from 2012-2014, was arrested on Sunday at about 3:10 p.m. in Leland, North Carolina, according to a spokesperson for the Leland Police Department.”
“According to the spokesperson, there had been an outstanding warrant for his arrest.”
“He was booked into the Brunswick County Jail for one misdemeanor assault charge, one count of communicating threats and one count of interfering with an an emergency communication.”
“Get push notifications with news, features and more.”
“Rogers’ court date has been set for Sept. 26.”
“TMZ was the first to report the news of Rogers’ arrest.”
“According to the outlet, his bail has been set at $100,000.”
“In the arrest warrant obtained by TMZ, the court magistrate reportedly found probable cause to believe Rogers attacked a woman named Lindsey Frazier.”","['Opinion', 'Sensational']"
